icao;manufacturer;name;short-name;type;wtc;mtow;wingspan;recat-eu;final-speed;initial-roc
C650;Cessna;650, Citation 3/6/7;Cessna Citation;Landplane;M;14.06;16.31;Light;130;4000
C680;Cessna;Citation, Sovereign;Cessna Citation;Landplane;M;13.743;19.24;Light;125;2500
C750;Cessna;750, Citation 10;Cessna Citation;Landplane;M;16.193;19.5;Lower Medium;130;3500
C82R;Cessna;Aviones Colombia R182;Cessna Aviones;Landplane;L;1.34;10.9;Light;65;800
CL2T;Canadair;CL-415 SuperScooper;CL-415;Landplane;M;19.89;28.63;Lower Medium;105;1500
CL30;Bombardier;BD-100, Challenger 300;Challenger 300;Landplane;M;17.622;18.4;Lower Medium;125;4500
CL35;Bombardier;BD-100, Challenger 350;Challenger 350;Landplane;M;18.416;21;Lower Medium;125;4500
CL60;Canadair;Canadair Challenger;Challenger;Landplane;M;19.55;19.6;Lower Medium;130;4500
CN35;Airtech;CN-235 MP Persuader;CN-235;Landplane;M;15.1;25.8;Lower Medium;110;1500
COL4;Cessna;Columbia 400, Corvalis TT;Corvalis;Landplane;L;1.633;11;-;-;-
CONC;Aerospatiale;Concorde;Concorde;Landplane;H;185.1;25.6;-;165;4000
CP23;Mudry;CAP-230/231/232;CAP-230;Landplane;L;0.76;8.1;Light;60;1400
CRJ1;Canadair;RJ-100 Regional Jet;CRJ-100;Landplane;M;21.5;21.21;Lower Medium;135;2500
CRJ2;Canadair;RJ-200 Regional Jet;CRJ-200;Landplane;M;21.523;21.21;Lower Medium;140;3000
CRJ7;Canadair;RJ-700 Regional Jet;CRJ-700;Landplane;M;33;23.24;Lower Medium;135;3000
